course_name,category,software,certificate,teacher,course_level,course_rating,hours_per_week,course_link,price
Проектирование архитектуры и интеграций сервисов (с проверкой),Языки программирования,"HTML, SQL",Сертификат Stepik,No instructor found,Начальный уровень,5,5 часов в неделю,https://stepik.org/course/176504?search=7139515404,25000
"""Поколение Python"": курс для начинающих",Языки программирования,,Сертификат Stepik,Тимур 🐍 Гуев,Начальный уровень,5,,https://stepik.org/course/58852?search=7139515390,0
Асинхронность в Python. Asyncio,Языки программирования,,Сертификат Stepik,Александр Шибаев,Средний уровень,5,,https://stepik.org/course/189436?search=7139515389,2690
Продвинутый Django 5 для продолжающих,Фреймворки и библиотеки,"Django, Git, Bootstrap, Nginx, Nginx",Сертификат Stepik,Илья Перминов,Средний уровень,4.9,5-6 часов в неделю,https://stepik.org/course/177355?search=7139536255,1999
Тестирование JavaScript и React приложений,Фреймворки и библиотеки,"JavaScript, React, JavaScript",Сертификат Stepik,Михаил Непомнящий,Средний уровень,5,1.5-2 часа в неделю,https://stepik.org/course/200433?search=7139536251,1999
Профессия Frontend-разработчик,Фреймворки и библиотеки,"JavaScript, jQuery, HTML, CSS, JavaScript, Bootstrap, Sass, Figma, Figma, Figma, Zeplin, Figma, Figma",No,Михаил Непомнящий,Начальный уровень,5,4-5 часов в неделю,https://stepik.org/course/180789?search=7139536253,8900
Программа курсов: Анализ данных,Фреймворки и библиотеки,"Python, Python",No,"Shultais Education, Роман Медведев, Глеб Михайлов, Анастасия Кузнецова",Начальный уровень,5,4-6 часов в неделю,https://stepik.org/course/210097?search=7139536259,12100
HTML и CSS - полный курс по вёрстке с нуля,Фреймворки и библиотеки,"HTML, CSS, Figma, Figma, Figma, Figma, Figma",Сертификат Stepik,Антон Ларичев,Начальный уровень,4.8,,https://stepik.org/course/146294?search=7139536258,3999
Машинное Обучение в Python: Большой Курс для Начинающих,Фреймворки и библиотеки,"Python, Pandas, NumPy, Matplotlib, Jupyter Notebook, HTML, Excel, Python, SQL, Scikit-learn",Сертификат Stepik,Влад Бурмистров,Начальный уровень,5,,https://stepik.org/course/129449?search=7139536249,2465
Основы Pandas для начинающих,Фреймворки и библиотеки,"Pandas, NumPy",Сертификат Stepik,Роман Медведев,Начальный уровень,4.7,2,https://stepik.org/course/120014?search=7139536264,1990
Бэкенд разработка на Django: с нуля до специалиста,Фреймворки и библиотеки,"Django, GitHub, HTML, Nginx, Nginx",Сертификат Stepik,Илья Фофанов,Начальный уровень,4.7,4,https://stepik.org/course/125859?search=7139536265,1390
"Frontend разработчик на HTML, CSS и JavaScript",Фреймворки и библиотеки,"JavaScript, TypeScript, Vue.js, Git, GitHub, HTML, CSS, JavaScript, Bootstrap, Sass, Figma, Figma, Figma, Figma, Figma",Сертификат Stepik,Исмаил Усеинов,Начальный уровень,5,1 час в день или больше,https://stepik.org/course/113402?search=7139536250,7450
Программа курсов: Фронтенд-разработка,Фреймворки и библиотеки,,No,"Shultais Education, IT Guru, Михаил Непомнящий, Исмаил Усеинов",Начальный уровень,,4-6 часов в неделю,https://stepik.org/course/208811?search=7139536263,10000
"Воркшоп ""FullStack—приложение за час"". Java, React.JS, MySQL",Фреймворки и библиотеки,"Java, JavaScript, React, Spring, JavaScript, Bootstrap, Java, Postman",No,Сергей Камянецкий,Средний уровень,4.8,8,https://stepik.org/course/209588?search=7139536257,2520
Пакет курсов: Pandas + Matplotlib + Seaborn,Фреймворки и библиотеки,,No,Сергей Спирёв,,5,,https://stepik.org/course/211639?search=7139536266,2180
Программа курсов: Бэкенд-разработка на Python,Фреймворки и библиотеки,"Python, Python",No,"Shultais Education, Павел Хошев, Илья Перминов, Антон Щербак, Глеб Учитель",Начальный уровень,,4-6 часов в неделю,https://stepik.org/course/208885?search=7139536260,22500
Django REST Framework (DRF) для начинающих,Фреймворки и библиотеки,Django,Сертификат Stepik,Илья Перминов,Начальный уровень,5,6-8,https://stepik.org/course/179999?search=7139536248,239920
Профессия веб верстальщик. Пакет из 2-х курсов-веб разработке,Фреймворки и библиотеки,"Go, GitHub, HTML, CSS, Bootstrap, Sass, Figma, Figma, Figma, Figma, Figma",No,Дмитрий Фокеев,Начальный уровень,5,4-5 часов в неделю,https://stepik.org/course/121498?search=7139536256,4190
"Пакет курсов ""Data Scientist"": Python + SQL + Машинное обучение",Фреймворки и библиотеки,"Python, Pandas, NumPy, Matplotlib, Jupyter Notebook, HTML, Excel, Python, SQL, Scikit-learn",No,Влад Бурмистров,,5,71 час видео-лекций + время на выполнение практических заданий,https://stepik.org/course/175382?search=7139536254,3315
"Добрый, добрый Django + Docker с Сергеем Балакиревым",Фреймворки и библиотеки,Django,Сертификат Stepik,Сергей Балакирев,Начальный уровень,4.9,,https://stepik.org/course/183363?search=7139536247,2500
Pandas: вопросы на собеседовании и не только,Фреймворки и библиотеки,Pandas,No,Роман Медведев,Средний уровень,4.8,0.5,https://stepik.org/course/133336?search=7139536261,990
Django 5 для начинающих,Фреймворки и библиотеки,"JavaScript, Django, HTML, JavaScript, Bootstrap, Nginx, SQL, Nginx",Сертификат Stepik,Илья Перминов,Средний уровень,5,5-6 часов в неделю,https://stepik.org/course/174634?search=7139536252,1599
Игра на Vue.js,Фреймворки и библиотеки,"JavaScript, Vue.js, Git, GitHub, JavaScript",Сертификат Stepik,Исмаил Усеинов,Средний уровень,4.8,30 минут в день,https://stepik.org/course/99855?search=7139536262,450
Многопроцессорный Python,Веб-разработка,"Python, Python",Сертификат Stepik,Павел Хошев,Начальный уровень,4.9,15 минут в день,https://stepik.org/course/190099?search=7139559469,1900
Тестирование REST API в Postman - легкий старт в автоматизацию,Веб-разработка,"JavaScript, JavaScript, Postman",Сертификат Stepik,Давид Согоян,Начальный уровень,5,8 часов в неделю,https://stepik.org/course/131052?search=7139559477,890
Фундаментальный JavaScript,Веб-разработка,"JavaScript, HTML, JavaScript",Сертификат Stepik,Михаил Непомнящий,Начальный уровень,5,3-5 часов,https://stepik.org/course/114165?search=7139559479,2800
Проектирование архитектуры и интеграций сервисов (с проверкой),Веб-разработка,"HTML, SQL",Сертификат Stepik,No instructor found,Начальный уровень,5,5 часов в неделю,https://stepik.org/course/176504?search=7139559470,25000
Самый полный курс по JavaScript для опытных программистов,Веб-разработка,"JavaScript, JavaScript",Сертификат Stepik,IT Guru,Средний уровень,4.5,,https://stepik.org/course/177315?search=7139559476,1999
Многопоточный Python,Веб-разработка,,Сертификат Stepik,Павел Хошев,Начальный уровень,4.8,15 минут в день,https://stepik.org/course/190100?search=7139559475,1900
Курс по верстке и веб разработке сайтов с нуля! Web development,Веб-разработка,"Go, GitHub, HTML, CSS, Bootstrap, Sass, Figma, Figma, Figma, Figma, Figma",Сертификат Stepik,Дмитрий Фокеев,Начальный уровень,5,4-5 часов в неделю,https://stepik.org/course/114109?search=7139559482,2390
Веб дизайн в Figma с нуля до результата! Основы UX/UI Web Design,Веб-разработка,"Figma, Figma, Figma, Figma, Figma",Сертификат Stepik,Дмитрий Фокеев,Начальный уровень,5,4-5 часов в неделю,https://stepik.org/course/102520?search=7139559481,2390
Тестирование JavaScript и React приложений,Веб-разработка,"JavaScript, React, JavaScript",Сертификат Stepik,Михаил Непомнящий,Средний уровень,5,1.5-2 часа в неделю,https://stepik.org/course/200433?search=7139559486,1999
Django 5 для начинающих,Веб-разработка,"JavaScript, Django, HTML, JavaScript, Bootstrap, Nginx, SQL, Nginx",Сертификат Stepik,Илья Перминов,Средний уровень,5,5-6 часов в неделю,https://stepik.org/course/174634?search=7139559487,1599
Проектирование архитектуры и интеграций сервисов (полный тариф),Веб-разработка,"HTML, SQL",Сертификат Stepik,Глеб Учитель,Начальный уровень,4.8,5 часов в неделю,https://stepik.org/course/170591?search=7139559472,44000
"Вёрстка сайта с нуля • JSX, SCSS, JS, Vite, Minista, БЭМ",Веб-разработка,,Сертификат Stepik,Александр Ламков,Средний уровень,5,10 часов в неделю в течение 1 — 1.5 месяца,https://stepik.org/course/228315?search=7139559478,1999
Самый полный курс по JavaScript для начинающих программистов,Веб-разработка,"JavaScript, JavaScript",Сертификат Stepik,IT Guru,Начальный уровень,4.8,,https://stepik.org/course/134850?search=7139559471,1999
"Frontend разработчик на HTML, CSS и JavaScript",Веб-разработка,"JavaScript, TypeScript, Vue.js, Git, GitHub, HTML, CSS, JavaScript, Bootstrap, Sass, Figma, Figma, Figma, Figma, Figma",Сертификат Stepik,Исмаил Усеинов,Начальный уровень,5,1 час в день или больше,https://stepik.org/course/113402?search=7139559485,7450
FastAPI для начинающих,Веб-разработка,"Nginx, Nginx",Сертификат Stepik,Илья Перминов,Начальный уровень,5,5-6 часов в неделю,https://stepik.org/course/180000?search=7139559480,2499
Django REST Framework (DRF) для начинающих,Веб-разработка,Django,Сертификат Stepik,Илья Перминов,Начальный уровень,5,6-8,https://stepik.org/course/179999?search=7139559473,239920
Основы HTML и CSS,Веб-разработка,"HTML, CSS",Сертификат Stepik,Shultais Education,,5,,https://stepik.org/course/58973?search=7139559488,3900
Старт карьеры в IT. Front-end разработчик сайтов с нуля.,Веб-разработка,"Go, GitHub, HTML, CSS, Bootstrap, Sass, Figma, Figma, Figma, Figma, Figma",No,Дмитрий Фокеев,Начальный уровень,5,4-5 часов в неделю,https://stepik.org/course/175308?search=7139559483,3890
Проектирование архитектуры и интеграций (API / брокеры) сервисов,Веб-разработка,"HTML, SQL",Сертификат Stepik,Глеб Учитель,Начальный уровень,4.6,5 часов в неделю,https://stepik.org/course/175243?search=7139559474,13990
Пакет курсов JavaScript и React разработчика,Веб-разработка,"JavaScript, HTML, JavaScript",No,Михаил Непомнящий,Начальный уровень,,4-5 часов в неделю,https://stepik.org/course/204117?search=7139559484,5400
Android разработка: Базовый курс + Основы программирования,Разработка мобильных приложений,"Java, Android Studio, Java",Сертификат Stepik,Андрей Сумин,Начальный уровень,5,4 - 8 часов в неделю,https://stepik.org/course/121507?search=7139585303,3730
Изучаем iOS с нуля!,Разработка мобильных приложений,,Сертификат Stepik,Oleg Maksimenko,Начальный уровень,5,10-20 часов,https://stepik.org/course/187209?search=7139585304,4999
JAVA – получи Чёрный Пояс!,Разработка мобильных приложений,,No,"Заур Трегулов, Тимур Трегулов",Средний уровень,5,4-5 часов в неделю,https://stepik.org/course/115517?search=7139585307,148750
SwiftUI Layout - верстка,Разработка мобильных приложений,,No,Игорь Шувалов,Средний уровень,5,,https://stepik.org/course/210400?search=7139585301,1000
Java Тренажер,Разработка мобильных приложений,,No,IT Guru,Средний уровень,4.8,,https://stepik.org/course/182389?search=7139585309,0
React Native и Expo Router,Разработка мобильных приложений,"Xcode, Android Studio, Xcode",Сертификат Stepik,Антон Ларичев,,5,,https://stepik.org/course/206721?search=7139585305,3999
Разработка мобильных приложений под Android на Java,Разработка мобильных приложений,Android Studio,Сертификат Stepik,Ринат Минязев,Средний уровень,4.7,4-5 часов в неделю,https://stepik.org/course/91970?search=7139585300,5550
Java (Джава) для начинающих: с нуля до сертификата Oracle,Разработка мобильных приложений,"Java, Java",No,"Заур Трегулов, Тимур Трегулов",Начальный уровень,4.9,4-5 часов в неделю,https://stepik.org/course/115662?search=7139585295,148750
Jetpack Compose полный курс,Разработка мобильных приложений,,No,Андрей Сумин,Средний уровень,5,4 - 8 часов в неделю,https://stepik.org/course/125685?search=7139585290,3967
Практический Тренажер по Kotlin,Разработка мобильных приложений,"Kotlin, Kotlin",Сертификат Stepik,IT Guru,Средний уровень,5,,https://stepik.org/course/187934?search=7139585297,799
"Android App – игра ""Крестики-Нолики"" на Kotlin",Разработка мобильных приложений,Android Studio,Сертификат Stepik,Алексей Охотниченко,Начальный уровень,4.9,30 минут в день,https://stepik.org/course/81189?search=7139585308,245
PRO Kotlin. Курс для продвинутых,Разработка мобильных приложений,"Kotlin, IntelliJ IDEA, Kotlin",Сертификат Stepik,Батраз Дзампаев,Средний уровень,5,4-5 часов в неделю,https://stepik.org/course/154096?search=7139585291,4125
Java с нуля до Junior + Подготовка к собеседованию,Разработка мобильных приложений,"Java, Java, JUnit",Сертификат Stepik,Андрей Сумин,Начальный уровень,5,,https://stepik.org/course/118518?search=7139585293,2990
Аналитик мобильных приложений,Разработка мобильных приложений,"Kotlin, Swift, Swift, Kotlin",Сертификат Stepik,"Startgram EdTech, Expertise Lab",Начальный уровень,4.9,В среднем - 2 месяца,https://stepik.org/course/89217?search=7139585298,4800
Android: Профессиональный уровень + Подготовка к собеседованию,Разработка мобильных приложений,"Kotlin, Git, Kotlin, Principle",Сертификат Stepik,Андрей Сумин,Средний уровень,5,4 - 8 часов в неделю,https://stepik.org/course/117314?search=7139585292,3990
Профессия: Разработчик на Java (Junior),Разработка мобильных приложений,"Java, Java",No,"Андрей Сумин, Валерия Качулина, Антон Петров, Татьяна Овчинникова, Pragmatic Programmer, Максим Бабанин",Начальный уровень,,4-6 часов в неделю,https://stepik.org/course/212609?search=7139585296,7900
Профессия Android-разработчик + подготовка к собеседованию,Разработка мобильных приложений,"Java, Java, JUnit",Сертификат Stepik,Андрей Сумин,Начальный уровень,5,4 - 8 часов в неделю,https://stepik.org/course/121912?search=7139585294,12990
Kotlin с нуля до Junior + Подготовка к собеседованию (2025),Разработка мобильных приложений,"Java, Kotlin, Kotlin, Java, JUnit, Principle",Сертификат Stepik,Андрей Сумин,Начальный уровень,4.9,4 - 8 часов в неделю,https://stepik.org/course/207758?search=7139585299,4790
Основы Swift и iOS,Разработка мобильных приложений,"Swift, Swift",No,Антон Ларичев,,5,,https://stepik.org/course/225289?search=7139585306,3999
Kotlin Multiplatform шаг за шагом с Максимом Казанцевым,Разработка мобильных приложений,,No,Максим Казанцев,Средний уровень,5,8,https://stepik.org/course/197466?search=7139585302,6800
Unity Bolt - визуальное программирование,Разработка игр,Unity,Сертификат Stepik,Исмаил Усеинов,Средний уровень,,30 минут в день,https://stepik.org/course/101091?search=7139606631,290
Разработка игр на Unity 3D,Разработка игр,Unity,No,"Anonymous 74574817, Александр Борисов",,4,6 подробных видео-уроков,https://stepik.org/course/51211?search=7139606632,350
"Unity Android. 2D игра ""Не трогай шипы!""",Разработка игр,,No,Матвей Бервинов,Начальный уровень,5,30-60 минут в день,https://stepik.org/course/233414?search=7139606620,199
Курс по левел дизайну в Unreal Engine 5,Разработка игр,"Unreal Engine, Blender, Blender, Blender, Blender",No,Оганес Мартиросян,Средний уровень,5,4 часа в неделю,https://stepik.org/course/199865?search=7139606625,2990
PRO C#. Unity,Разработка игр,Unity,No,Александр Стриков,Начальный уровень,,6-8 часов в неделю,https://stepik.org/course/221681?search=7139606616,15900
"PRO C#. Профессия ""Разработчик игр на Unity""",Разработка игр,,No,"Иосиф Дзеранов, Александр Стриков",Начальный уровень,,6-8 часов в неделю,https://stepik.org/course/221373?search=7139606626,94900
"Unity. 2D игра ""Камень, ножницы, бумага""",Разработка игр,,Сертификат Stepik,Александр Стриков,Средний уровень,5,1 - 2 часа в неделю,https://stepik.org/course/187607?search=7139606615,7425
Полный курс разработки 3D игр Unity для новичков,Разработка игр,Unity,Сертификат Stepik,"Программирование и ИИ (AI) Codemoon, Aziz M.",Средний уровень,4.8,4-6 часа в неделю,https://stepik.org/course/194964?search=7139606628,2000
Мини - курс разработки 3D игры на Unity c нуля,Разработка игр,Unity,Сертификат Stepik,"Программирование и ИИ (AI) Codemoon, Aziz M.",Начальный уровень,5,1-2 часа в неделю,https://stepik.org/course/194966?search=7139606624,100
Godot для абсолютных новичков | Создай 2D игру мечты,Разработка игр,Godot,Сертификат Stepik,Никита Кулаченков,Начальный уровень,4.6,,https://stepik.org/course/123947?search=7139606614,1199
Unity. Прототип шутера от первого лица (FPS),Разработка игр,,Сертификат Stepik,Александр Стриков,Начальный уровень,5,3 - 4 часа в неделю,https://stepik.org/course/129234?search=7139606622,7425
ProgMine. Большой курс по программированию на Python в Minecraft,Разработка игр,,Сертификат Stepik,Александр Бобуров,Начальный уровень,5,2,https://stepik.org/course/123284?search=7139606619,2000
Игра на Vue.js,Разработка игр,"JavaScript, Vue.js, Git, GitHub, JavaScript",Сертификат Stepik,Исмаил Усеинов,Средний уровень,4.8,30 минут в день,https://stepik.org/course/99855?search=7139606613,450
VR-разработчик на Unity,Разработка игр,"Unity, Blender, Blender, Blender, Blender",Сертификат Stepik,Владимир Макушев,Начальный уровень,5,,https://stepik.org/course/197118?search=7139606621,5000
Полный курс разработки 2D игр на Unity с нуля,Разработка игр,Unity,Сертификат Stepik,Aziz M.,Начальный уровень,4.5,4-6 часа в неделю,https://stepik.org/course/194907?search=7139606630,2000
Разработчик 2D и 3D игр на игровом движке Unity с нуля до про.,Разработка игр,Unity,No,"Программирование и ИИ (AI) Codemoon, Aziz M.",Начальный уровень,5,4-5 часов в неделю,https://stepik.org/course/197819?search=7139606629,2750
Создание персонажей в MAYA,Разработка игр,,No,Илья Хлынин,Средний уровень,5,5,https://stepik.org/course/134887?search=7139606617,5000
Unreal Engine 5: Синематик и Анимация с нуля до профессионала,Разработка игр,Unreal Engine,No,Анатолий Дёмин,Начальный уровень,5,,https://stepik.org/course/213700?search=7139606618,2900
Полный курс по созданию мобильных игр на Godot 4,Разработка игр,Godot,No,Максим Лобода,Начальный уровень,4.8,2-3 часа в неделю,https://stepik.org/course/137222?search=7139606627,2900
Unreal Engine 5. Курс по Блупринтам,Разработка игр,,No,Оганес Мартиросян,Начальный уровень,5,2,https://stepik.org/course/218501?search=7139606623,2990
SQL с нуля до PRO,Аналитика и работа с данными,SQL,Сертификат Stepik,Shultais Education,Начальный уровень,4.9,4,https://stepik.org/course/61247?search=7139621028,5390
Data Science с Глебом Михайловым,Аналитика и работа с данными,"Python, Pandas, Python",Сертификат Stepik,Глеб Михайлов,Начальный уровень,5,,https://stepik.org/course/113596?search=7139621038,2485
Проектирование архитектуры и интеграций сервисов (полный тариф),Аналитика и работа с данными,"HTML, SQL",Сертификат Stepik,Глеб Учитель,Начальный уровень,4.8,5 часов в неделю,https://stepik.org/course/170591?search=7139621031,44000
SQL для Анализа Данных с Глебом Михайловым,Аналитика и работа с данными,SQL,Сертификат Stepik,Глеб Михайлов,Начальный уровень,5,,https://stepik.org/course/116332?search=7139621033,2485
"""Поколение Python"": базы данных и SQL",Аналитика и работа с данными,SQL,Сертификат Stepik,"Поколение Python, Тимур 🐍 Гуев, Артур Харисов, Валерий Светкин",Средний уровень,5,10 часов в неделю,https://stepik.org/course/113918?search=7139621039,5400
FastAPI для начинающих,Аналитика и работа с данными,"Nginx, Nginx",Сертификат Stepik,Илья Перминов,Начальный уровень,5,5-6 часов в неделю,https://stepik.org/course/180000?search=7139621040,2499
Оконные функции SQL,Аналитика и работа с данными,,Сертификат Stepik,Антон Жиянов,,5,,https://stepik.org/course/95367?search=7139621032,1500
Практический Machine Learning,Аналитика и работа с данными,,Сертификат Stepik,"Елена Кантонистова, Евгений Паточенко",Начальный уровень,5,4-5 часов в неделю,https://stepik.org/course/125501?search=7139621042,3900
Пакет курсов. Базы данных и SQL с нуля до профи.,Аналитика и работа с данными,SQL,Сертификат Stepik,Pragmatic Programmer,Начальный уровень,5,4-5 часов в неделю,https://stepik.org/course/212383?search=7139621044,140250
Машинное Обучение в Python: Большой Курс для Начинающих,Аналитика и работа с данными,"Python, Pandas, NumPy, Matplotlib, Jupyter Notebook, HTML, Excel, Python, SQL, Scikit-learn",Сертификат Stepik,Влад Бурмистров,Начальный уровень,5,,https://stepik.org/course/129449?search=7139621037,2465
Введение в SQL. Продолжение,Аналитика и работа с данными,,Сертификат Stepik,Ирина Selectовна,Средний уровень,5,,https://stepik.org/course/198641?search=7139621036,850
WEB Парсинг на Python,Аналитика и работа с данными,"HTML, Excel, Selenium",Сертификат Stepik,Павел Хошев,Средний уровень,4.9,15 минут в день,https://stepik.org/course/104774?search=7139621030,3900
"Пакет курсов ""Data Scientist"": Python + SQL + Машинное обучение",Аналитика и работа с данными,"Python, Pandas, NumPy, Matplotlib, Jupyter Notebook, HTML, Excel, Python, SQL, Scikit-learn",No,Влад Бурмистров,,5,71 час видео-лекций + время на выполнение практических заданий,https://stepik.org/course/175382?search=7139621046,3315
Делаем свой AI-продукт на базе ChatGPT или других LLM моделей.,Аналитика и работа с данными,,Сертификат Stepik,"Александр 🍕 Миленькин, Иван Александров",Начальный уровень,4.9,1-2,https://stepik.org/course/178846?search=7139621043,3900
Анализ Данных с Глебом Михайловым (3 курса сразу!),Аналитика и работа с данными,"Python, Pandas, Python",No,Глеб Михайлов,Начальный уровень,5,,https://stepik.org/course/200649?search=7139621045,648050
